integration_model,cdm_entity,source_model,cdm_column_name,staging_column_name
int_parks,Park,stg_geoparks__parks_master,accountnumber,geo_park_id
int_parks,Park,stg_geoparks__parks_master,name,park_name
int_parks,Park,stg_geoparks__parks_master,description,gis_steward
int_parks,Park,stg_vistareserve__parks,accountnumber,park_id
int_parks,Park,stg_vistareserve__parks,name,park_name
int_contacts,Contact,stg_vistareserve__customer_profiles,contactid,customer_id
int_contacts,Contact,stg_vistareserve__customer_profiles,firstname,first_name
int_contacts,Contact,stg_vistareserve__customer_profiles,lastname,last_name
int_contacts,Contact,stg_vistareserve__customer_profiles,emailaddress1,email
int_contacts,Contact,stg_vistareserve__customer_profiles,mobilephone,phone
int_customer_assets,CustomerAsset,stg_vistareserve__inventory_assets,customerassetid,asset_id
int_customer_assets,CustomerAsset,stg_vistareserve__inventory_assets,msrex_productcode,asset_type
int_transactions,Transaction,stg_vistareserve__pos_transactions,msnfp_transactionid,transaction_id
int_transactions,Transaction,stg_vistareserve__pos_transactions,msnfp_bookdate,transaction_created_at
int_transactions,Transaction,stg_vistareserve__pos_transactions,msnfp_amount_receipt,transaction_amount
int_visits,Visit,stg_vistareserve__reservations,msnvo_visitid,reservation_id
int_visits,Visit,stg_vistareserve__reservations,msnvo_name,reservation_id
int_visits,Visit,stg_vistareserve__reservations,msnvo_scheduledstart,arrival_date
int_visits,Visit,stg_vistareserve__reservations,msnvo_scheduledend,departure_date
